※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,2024년07월,,,,,,2024년08월,,,,,,2024년09월,,,,,,2024년10월,,,,,,2024년11월,,,,,,2024년12월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,289,778","4,436,568",          2.09,"4,485,090","4,804,688",          0.93,"9,285,422","4,437,424",          2.09,"4,482,473","4,802,949",          0.93,"9,280,716","4,437,692",          2.09,"4,479,835","4,800,881",          0.93,"9,274,155","4,435,160",          2.09,"4,476,345","4,797,810",          0.93,"9,265,256","4,431,343",          2.09,"4,471,310","4,793,946",          0.93,"9,261,703","4,431,986",          2.09,"4,469,100","4,792,603",          0.93
1111000000,서울특별시 종로구 ,"137,363","71,168",          1.93,"66,044","71,319",          0.93,"137,210","71,126",          1.93,"65,942","71,268",          0.93,"137,172","71,105",          1.93,"65,941","71,231",          0.93,"137,071","71,030",          1.93,"65,890","71,181",          0.93,"136,856","70,975",          1.93,"65,751","71,105",          0.92,"136,624","70,923",          1.93,"65,656","70,968",          0.93
1114000000,서울특별시 중구 ,"119,879","64,167",          1.87,"57,738","62,141",          0.93,"119,895","64,208",          1.87,"57,706","62,189",          0.93,"119,801","64,216",          1.87,"57,643","62,158",          0.93,"119,726","64,183",          1.87,"57,615","62,111",          0.93,"119,415","63,964",          1.87,"57,416","61,999",          0.93,"119,053","63,858",          1.86,"57,205","61,848",          0.92
1117000000,서울특별시 용산구 ,"202,309","101,756",          1.99,"96,800","105,509",          0.92,"202,104","101,693",          1.99,"96,687","105,417",          0.92,"201,870","101,581",          1.99,"96,574","105,296",          0.92,"201,409","101,365",          1.99,"96,369","105,040",          0.92,"200,883","101,064",          1.99,"96,046","104,837",          0.92,"200,682","100,989",          1.99,"95,904","104,778",          0.92
1120000000,서울특별시 성동구 ,"273,997","131,564",          2.08,"132,640","141,357",          0.94,"273,594","131,431",          2.08,"132,403","141,191",          0.94,"273,206","131,305",          2.08,"132,141","141,065",          0.94,"272,807","131,090",          2.08,"131,984","140,823",          0.94,"272,158","130,748",          2.08,"131,674","140,484",          0.94,"271,522","130,445",          2.08,"131,306","140,216",          0.94
1121500000,서울특별시 광진구 ,"331,381","168,575",          1.97,"158,825","172,556",          0.92,"331,167","168,590",          1.96,"158,731","172,436",          0.92,"330,853","168,529",          1.96,"158,635","172,218",          0.92,"330,460","168,433",          1.96,"158,453","172,007",          0.92,"330,074","168,282",          1.96,"158,271","171,803",          0.92,"329,478","168,118",          1.96,"157,942","171,536",          0.92
1123000000,서울특별시 동대문구 ,"338,705","172,117",          1.97,"165,677","173,028",          0.96,"338,520","172,205",          1.97,"165,536","172,984",          0.96,"338,311","172,138",          1.97,"165,402","172,909",          0.96,"338,018","172,002",          1.97,"165,200","172,818",          0.96,"337,262","171,575",          1.97,"164,796","172,466",          0.96,"336,395","171,127",          1.97,"164,328","172,067",          0.96
1126000000,서울특별시 중랑구 ,"378,964","187,251",          2.02,"185,293","193,671",          0.96,"378,671","187,294",          2.02,"185,110","193,561",          0.96,"378,423","187,281",          2.02,"184,926","193,497",          0.96,"378,056","187,226",          2.02,"184,716","193,340",          0.96,"377,581","187,078",          2.02,"184,439","193,142",          0.95,"377,311","187,092",          2.02,"184,320","192,991",          0.96
