※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,2024년01월,,,,,,2024년02월,,,,,,2024년03월,,,,,,2024년04월,,,,,,2024년05월,,,,,,2024년06월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,313,144","4,420,014",          2.11,"4,501,581","4,811,563",          0.94,"9,315,577","4,429,734",          2.10,"4,501,596","4,813,981",          0.94,"9,313,821","4,435,160",          2.10,"4,499,566","4,814,255",          0.93,"9,307,591","4,435,736",          2.10,"4,495,764","4,811,827",          0.93,"9,301,202","4,435,828",          2.10,"4,491,872","4,809,330",          0.93,"9,295,449","4,435,566",          2.10,"4,488,495","4,806,954",          0.93
1111000000,서울특별시 종로구 ,"137,560","70,773",          1.94,"66,277","71,283",          0.93,"137,674","70,981",          1.94,"66,321","71,353",          0.93,"137,725","71,107",          1.94,"66,298","71,427",          0.93,"137,684","71,200",          1.93,"66,218","71,466",          0.93,"137,601","71,201",          1.93,"66,186","71,415",          0.93,"137,455","71,131",          1.93,"66,092","71,363",          0.93
1114000000,서울특별시 중구 ,"119,762","63,554",          1.88,"57,829","61,933",          0.93,"119,883","63,788",          1.88,"57,902","61,981",          0.93,"120,067","63,951",          1.88,"57,960","62,107",          0.93,"120,090","64,052",          1.87,"57,940","62,150",          0.93,"120,017","64,064",          1.87,"57,883","62,134",          0.93,"119,941","64,089",          1.87,"57,775","62,166",          0.93
1117000000,서울특별시 용산구 ,"208,787","104,978",          1.99,"100,186","108,601",          0.92,"207,862","104,626",          1.99,"99,657","108,205",          0.92,"206,493","103,946",          1.99,"98,894","107,599",          0.92,"204,635","102,929",          1.99,"97,983","106,652",          0.92,"203,149","102,061",          1.99,"97,233","105,916",          0.92,"202,749","101,882",          1.99,"96,991","105,758",          0.92
1120000000,서울특별시 성동구 ,"274,893","131,437",          2.09,"133,265","141,628",          0.94,"274,757","131,655",          2.09,"133,155","141,602",          0.94,"274,765","131,828",          2.08,"133,107","141,658",          0.94,"274,664","131,769",          2.08,"133,045","141,619",          0.94,"274,581","131,803",          2.08,"132,985","141,596",          0.94,"274,398","131,698",          2.08,"132,817","141,581",          0.94
1121500000,서울특별시 광진구 ,"332,794","168,229",          1.98,"159,818","172,976",          0.92,"332,660","168,543",          1.97,"159,683","172,977",          0.92,"332,567","168,698",          1.97,"159,555","173,012",          0.92,"332,260","168,738",          1.97,"159,350","172,910",          0.92,"331,867","168,648",          1.97,"159,146","172,721",          0.92,"331,595","168,601",          1.97,"159,000","172,595",          0.92
1123000000,서울특별시 동대문구 ,"338,577","170,957",          1.98,"165,909","172,668",          0.96,"339,198","171,793",          1.97,"166,135","173,063",          0.96,"339,578","172,233",          1.97,"166,258","173,320",          0.96,"339,581","172,322",          1.97,"166,216","173,365",          0.96,"339,278","172,285",          1.97,"166,005","173,273",          0.96,"338,952","172,152",          1.97,"165,842","173,110",          0.96
1126000000,서울특별시 중랑구 ,"380,302","186,687",          2.04,"186,226","194,076",          0.96,"380,337","187,037",          2.03,"186,150","194,187",          0.96,"379,997","187,089",          2.03,"185,948","194,049",          0.96,"379,704","187,140",          2.03,"185,762","193,942",          0.96,"379,550","187,200",          2.03,"185,652","193,898",          0.96,"379,171","187,127",          2.03,"185,458","193,713",          0.96
1129000000,서울특별시 성북구 ,"422,053","194,486",          2.17,"202,361","219,692",          0.92,"421,995","194,995",          2.16,"202,298","219,697",          0.92,"422,042","195,448",          2.16,"202,256","219,786",          0.92,"421,821","195,444",          2.16,"202,092","219,729",          0.92,"421,484","195,361",          2.16,"201,917","219,567",          0.92,"421,357","195,375",          2.16,"201,890","219,467",          0.92
1130500000,서울특별시 강북구 ,"285,352","141,711",          2.01,"137,977","147,375",          0.94,"284,899","141,705",          2.01,"137,679","147,220",          0.94,"284,259","141,640",          2.01,"137,308","146,951",          0.93,"283,761","141,566",          2.00,"137,049","146,712",          0.93,"283,394","141,482",          2.00,"136,859","146,535",          0.93,"282,905","141,374",          2.00,"136,562","146,343",          0.93
1132000000,서울특별시 도봉구 ,"304,768","136,978",          2.22,"147,629","157,139",          0.94,"304,595","137,242",          2.22,"147,509","157,086",          0.94,"304,417","137,379",          2.22,"147,344","157,073",          0.94,"304,128","137,451",          2.21,"147,196","156,932",          0.94,"303,730","137,415",          2.21,"146,954","156,776",          0.94,"303,473","137,479",          2.21,"146,835","156,638",          0.94
1135000000,서울특별시 노원구 ,"494,907","215,844",          2.29,"237,453","257,454",          0.92,"494,769","216,450",          2.29,"237,351","257,418",          0.92,"494,727","217,066",          2.28,"237,331","257,396",          0.92,"494,076","216,992",          2.28,"236,949","257,127",          0.92,"493,521","216,947",          2.27,"236,638","256,883",          0.92,"492,859","216,789",          2.27,"236,264","256,595",          0.92
1138000000,서울특별시 은평구 ,"463,381","213,654",          2.17,"219,994","243,387",          0.90,"462,977","213,944",          2.16,"219,717","243,260",          0.90,"462,923","214,210",          2.16,"219,634","243,289",          0.90,"462,578","214,260",          2.16,"219,433","243,145",          0.90,"462,164","214,231",          2.16,"219,168","242,996",          0.90,"461,602","214,155",          2.16,"218,812","242,790",          0.90
1141000000,서울특별시 서대문구 ,"303,252","144,988",          2.09,"143,966","159,286",          0.90,"303,314","145,435",          2.09,"143,936","159,378",          0.90,"303,399","145,685",          2.08,"143,874","159,525",          0.90,"303,423","145,727",          2.08,"143,878","159,545",          0.90,"303,104","145,689",          2.08,"143,654","159,450",          0.90,"302,769","145,520",          2.08,"143,423","159,346",          0.90
1144000000,서울특별시 마포구 ,"360,464","178,861",          2.02,"168,341","192,123",          0.88,"360,409","179,250",          2.01,"168,297","192,112",          0.88,"360,440","179,470",          2.01,"168,215","192,225",          0.88,"360,235","179,441",          2.01,"168,028","192,207",          0.87,"359,972","179,385",          2.01,"167,876","192,096",          0.87,"359,835","179,399",          2.01,"167,772","192,063",          0.87
1147000000,서울특별시 양천구 ,"432,974","178,799",          2.42,"211,182","221,792",          0.95,"432,719","178,890",          2.42,"211,045","221,674",          0.95,"431,973","178,835",          2.42,"210,670","221,303",          0.95,"431,426","178,809",          2.41,"210,298","221,128",          0.95,"431,054","178,913",          2.41,"210,070","220,984",          0.95,"430,770","178,927",          2.41,"209,929","220,841",          0.95
1150000000,서울특별시 강서구 ,"559,405","271,814",          2.06,"267,982","291,423",          0.92,"558,886","272,045",          2.05,"267,626","291,260",          0.92,"558,203","272,079",          2.05,"267,255","290,948",          0.92,"557,503","271,979",          2.05,"266,887","290,616",          0.92,"556,896","271,933",          2.05,"266,610","290,286",          0.92,"556,123","271,734",          2.05,"266,252","289,871",          0.92
1153000000,서울특별시 구로구 ,"390,302","182,656",          2.14,"191,165","199,137",          0.96,"389,658","182,722",          2.13,"190,852","198,806",          0.96,"389,383","182,837",          2.13,"190,713","198,670",          0.96,"388,960","182,750",          2.13,"190,475","198,485",          0.96,"388,511","182,666",          2.13,"190,280","198,231",          0.96,"388,162","182,608",          2.13,"190,104","198,058",          0.96
1154500000,서울특별시 금천구 ,"226,026","119,421",          1.89,"113,583","112,443",          1.01,"225,847","119,643",          1.89,"113,467","112,380",          1.01,"225,757","119,819",          1.88,"113,411","112,346",          1.01,"225,563","119,962",          1.88,"113,326","112,237",          1.01,"225,434","120,048",          1.88,"113,241","112,193",          1.01,"225,289","120,081",          1.88,"113,178","112,111",          1.01
1156000000,서울특별시 영등포구 ,"372,039","188,873",          1.97,"182,172","189,867",          0.96,"372,039","189,313",          1.97,"182,001","190,038",          0.96,"372,237","189,594",          1.96,"182,100","190,137",          0.96,"372,179","189,743",          1.96,"182,011","190,168",          0.96,"372,202","189,808",          1.96,"181,963","190,239",          0.96,"372,124","189,957",          1.96,"181,931","190,193",          0.96
1159000000,서울특별시 동작구 ,"375,796","184,709",          2.03,"181,684","194,112",          0.94,"375,702","185,199",          2.03,"181,652","194,050",          0.94,"376,065","185,639",          2.03,"181,774","194,291",          0.94,"376,296","185,965",          2.02,"181,874","194,422",          0.94,"375,941","185,915",          2.02,"181,731","194,210",          0.94,"375,714","185,870",          2.02,"181,648","194,066",          0.94
1162000000,서울특별시 관악구 ,"478,513","282,145",          1.70,"240,689","237,824",          1.01,"478,462","282,868",          1.69,"240,786","237,676",          1.01,"478,581","283,521",          1.69,"240,848","237,733",          1.01,"478,342","283,665",          1.69,"240,722","237,620",          1.01,"478,061","283,679",          1.69,"240,527","237,534",          1.01,"477,770","283,614",          1.68,"240,362","237,408",          1.01
1165000000,서울특별시 서초구 ,"403,381","167,224",          2.41,"192,069","211,312",          0.91,"403,632","167,506",          2.41,"192,090","211,542",          0.91,"403,486","167,621",          2.41,"191,988","211,498",          0.91,"403,235","167,593",          2.41,"191,835","211,400",          0.91,"402,960","167,617",          2.40,"191,685","211,275",          0.91,"403,054","167,707",          2.40,"191,708","211,346",          0.91
1168000000,서울특별시 강남구 ,"541,986","236,295",          2.29,"259,080","282,906",          0.92,"546,328","237,994",          2.30,"261,120","285,208",          0.92,"547,043","238,444",          2.29,"261,491","285,552",          0.92,"547,454","238,706",          2.29,"261,791","285,663",          0.92,"548,728","239,533",          2.29,"262,251","286,477",          0.92,"549,336","239,991",          2.29,"262,540","286,796",          0.92
1171000000,서울특별시 송파구 ,"649,496","283,194",          2.29,"311,961","337,535",          0.92,"649,458","283,691",          2.29,"311,832","337,626",          0.92,"649,296","284,117",          2.29,"311,695","337,601",          0.92,"649,019","284,298",          2.28,"311,494","337,525",          0.92,"648,718","284,421",          2.28,"311,307","337,411",          0.92,"648,332","284,480",          2.28,"311,040","337,292",          0.92
1174000000,서울특별시 강동구 ,"456,374","201,747",          2.26,"222,783","233,591",          0.95,"457,517","202,419",          2.26,"223,335","234,182",          0.95,"458,398","202,904",          2.26,"223,639","234,759",          0.95,"458,974","203,235",          2.26,"223,912","235,062",          0.95,"459,285","203,523",          2.26,"224,051","235,234",          0.95,"459,714","203,826",          2.26,"224,270","235,444",          0.95
2600000000,부산광역시  ,"3,277,060","1,553,823",          2.11,"1,596,288","1,680,772",          0.95,"3,275,552","1,556,507",          2.10,"1,595,438","1,680,114",          0.95,"3,273,478","1,558,240",          2.10,"1,594,269","1,679,209",          0.95,"3,271,214","1,558,533",          2.10,"1,592,803","1,678,411",          0.95,"3,269,138","1,559,325",          2.10,"1,591,697","1,677,441",          0.95,"3,267,151","1,559,591",          2.09,"1,590,521","1,676,630",          0.95
2611000000,부산광역시 중구 ,"38,172","23,472",          1.63,"18,499","19,673",          0.94,"38,184","23,575",          1.62,"18,513","19,671",          0.94,"38,161","23,571",          1.62,"18,505","19,656",          0.94,"38,084","23,568",          1.62,"18,466","19,618",          0.94,"37,944","23,520",          1.61,"18,396","19,548",          0.94,"37,872","23,501",          1.61,"18,369","19,503",          0.94
2614000000,부산광역시 서구 ,"103,384","53,117",          1.95,"49,699","53,685",          0.93,"103,192","53,150",          1.94,"49,597","53,595",          0.93,"103,020","53,130",          1.94,"49,526","53,494",          0.93,"102,778","53,054",          1.94,"49,407","53,371",          0.93,"102,631","52,992",          1.94,"49,315","53,316",          0.92,"102,477","52,964",          1.93,"49,247","53,230",          0.93
2617000000,부산광역시 동구 ,"87,078","46,918",          1.86,"42,287","44,791",          0.94,"86,912","46,943",          1.85,"42,215","44,697",          0.94,"86,725","46,919",          1.85,"42,130","44,595",          0.94,"86,626","46,910",          1.85,"42,049","44,577",          0.94,"86,427","46,892",          1.84,"41,937","44,490",          0.94,"86,277","46,852",          1.84,"41,855","44,422",          0.94
2620000000,부산광역시 영도구 ,"105,816","53,838",          1.97,"51,940","53,876",          0.96,"105,715","53,899",          1.96,"51,884","53,831",          0.96,"105,593","53,957",          1.96,"51,844","53,749",          0.96,"105,350","53,908",          1.95,"51,700","53,650",          0.96,"105,167","53,874",          1.95,"51,597","53,570",          0.96,"104,926","53,768",          1.95,"51,485","53,441",          0.96
2623000000,부산광역시 부산진구 ,"358,193","180,851",          1.98,"171,727","186,466",          0.92,"359,042","181,713",          1.98,"172,092","186,950",          0.92,"359,441","182,293",          1.97,"172,271","187,170",          0.92,"359,501","182,469",          1.97,"172,234","187,267",          0.92,"359,677","182,794",          1.97,"172,349","187,328",          0.92,"360,187","183,151",          1.97,"172,589","187,598",          0.92
2626000000,부산광역시 동래구 ,"268,823","118,709",          2.26,"129,865","138,958",          0.93,"268,390","118,761",          2.26,"129,562","138,828",          0.93,"268,072","118,741",          2.26,"129,363","138,709",          0.93,"267,920","118,801",          2.26,"129,194","138,726",          0.93,"267,902","118,852",          2.25,"129,155","138,747",          0.93,"268,158","119,027",          2.25,"129,273","138,885",          0.93
2629000000,부산광역시 남구 ,"253,236","117,608",          2.15,"123,295","129,941",          0.95,"254,005","118,284",          2.15,"123,698","130,307",          0.95,"254,376","118,809",          2.14,"123,900","130,476",          0.95,"254,547","119,051",          2.14,"123,936","130,611",          0.95,"254,522","119,118",          2.14,"123,893","130,629",          0.95,"254,742","119,264",          2.14,"124,044","130,698",          0.95
2632000000,부산광역시 북구 ,"272,103","122,411",          2.22,"133,736","138,367",          0.97,"271,486","122,368",          2.22,"133,408","138,078",          0.97,"271,105","122,379",          2.22,"133,187","137,918",          0.97,"270,702","122,332",          2.21,"132,935","137,767",          0.96,"270,392","122,387",          2.21,"132,772","137,620",          0.96,"270,005","122,354",          2.21,"132,525","137,480",          0.96
2635000000,부산광역시 해운대구 ,"377,584","167,883",          2.25,"180,813","196,771",          0.92,"376,646","167,786",          2.24,"180,389","196,257",          0.92,"375,952","167,699",          2.24,"180,076","195,876",          0.92,"375,583","167,692",          2.24,"179,895","195,688",          0.92,"374,982","167,612",          2.24,"179,610","195,372",          0.92,"374,699","167,640",          2.24,"179,461","195,238",          0.92
2638000000,부산광역시 사하구 ,"295,899","139,683",          2.12,"146,719","149,180",          0.98,"295,206","139,730",          2.11,"146,405","148,801",          0.98,"294,723","139,789",          2.11,"146,132","148,591",          0.98,"294,183","139,672",          2.11,"145,864","148,319",          0.98,"293,714","139,694",          2.10,"145,677","148,037",          0.98,"293,240","139,610",          2.10,"145,432","147,808",          0.98
2641000000,부산광역시 금정구 ,"213,839","104,843",          2.04,"104,210","109,629",          0.95,"213,371","104,897",          2.03,"104,000","109,371",          0.95,"213,189","105,125",          2.03,"103,867","109,322",          0.95,"212,816","105,018",          2.03,"103,694","109,122",          0.95,"212,613","105,108",          2.02,"103,534","109,079",          0.95,"212,106","104,971",          2.02,"103,284","108,822",          0.95
2644000000,부산광역시 강서구 ,"141,793","61,893",          2.29,"73,495","68,298",          1.08,"141,471","61,828",          2.29,"73,356","68,115",          1.08,"141,459","61,856",          2.29,"73,346","68,113",          1.08,"141,785","61,957",          2.29,"73,495","68,290",          1.08,"142,021","62,059",          2.29,"73,587","68,434",          1.08,"141,978","62,069",          2.29,"73,567","68,411",          1.08
2647000000,부산광역시 연제구 ,"208,644","96,731",          2.16,"99,680","108,964",          0.91,"210,298","97,447",          2.16,"100,482","109,816",          0.92,"210,733","97,732",          2.16,"100,649","110,084",          0.91,"211,153","97,992",          2.15,"100,811","110,342",          0.91,"211,353","98,183",          2.15,"100,880","110,473",          0.91,"211,392","98,305",          2.15,"100,853","110,539",          0.91
2650000000,부산광역시 수영구 ,"172,994","87,368",          1.98,"81,121","91,873",          0.88,"172,876","87,444",          1.98,"81,002","91,874",          0.88,"172,672","87,481",          1.97,"80,901","91,771",          0.88,"172,433","87,457",          1.97,"80,799","91,634",          0.88,"172,291","87,480",          1.97,"80,760","91,531",          0.88,"172,118","87,477",          1.97,"80,639","91,479",          0.88
2653000000,부산광역시 사상구 ,"201,594","99,142",          2.03,"101,089","100,505",          1.01,"201,286","99,291",          2.03,"100,906","100,380",          1.01,"201,080","99,407",          2.02,"100,788","100,292",          1.00,"200,855","99,391",          2.02,"100,681","100,174",          1.01,"200,657","99,459",          2.02,"100,588","100,069",          1.01,"200,289","99,400",          2.01,"100,351","99,938",          1.00
2671000000,부산광역시 기장군 ,"177,908","79,356",          2.24,"88,113","89,795",          0.98,"177,472","79,391",          2.24,"87,929","89,543",          0.98,"177,177","79,352",          2.23,"87,784","89,393",          0.98,"176,898","79,261",          2.23,"87,643","89,255",          0.98,"176,845","79,301",          2.23,"87,647","89,198",          0.98,"176,685","79,238",          2.23,"87,547","89,138",          0.98
2700000000,대구광역시  ,"2,365,599","1,087,727",          2.17,"1,161,142","1,204,457",          0.96,"2,363,792","1,089,042",          2.17,"1,160,091","1,203,701",          0.96,"2,361,791","1,090,446",          2.17,"1,159,017","1,202,774",          0.96,"2,360,506","1,091,484",          2.16,"1,158,111","1,202,395",          0.96,"2,359,650","1,092,760",          2.16,"1,157,571","1,202,079",          0.96,"2,359,015","1,093,603",          2.16,"1,157,147","1,201,868",          0.96
2711000000,대구광역시 중구 ,"89,103","44,713",          1.99,"42,608","46,495",          0.92,"89,670","45,031",          1.99,"42,907","46,763",          0.92,"89,994","45,285",          1.99,"43,014","46,980",          0.92,"90,374","45,473",          1.99,"43,183","47,191",          0.92,"91,324","45,861",          1.99,"43,645","47,679",          0.92,"92,076","46,170",          1.99,"44,011","48,065",          0.92
2714000000,대구광역시 동구 ,"341,386","161,745",          2.11,"167,118","174,268",          0.96,"340,839","161,823",          2.11,"166,815","174,024",          0.96,"340,595","161,899",          2.10,"166,695","173,900",          0.96,"340,974","162,294",          2.10,"166,848","174,126",          0.96,"341,559","162,858",          2.10,"167,154","174,405",          0.96,"341,928","163,248",          2.09,"167,379","174,549",          0.96
2717000000,대구광역시 서구 ,"163,645","83,429",          1.96,"81,154","82,491",          0.98,"163,878","83,616",          1.96,"81,234","82,644",          0.98,"163,605","83,618",          1.96,"81,078","82,527",          0.98,"163,218","83,506",          1.95,"80,868","82,350",          0.98,"162,744","83,373",          1.95,"80,671","82,073",          0.98,"162,503","83,321",          1.95,"80,564","81,939",          0.98
2720000000,대구광역시 남구 ,"137,911","74,978",          1.84,"65,790","72,121",          0.91,"137,589","74,938",          1.84,"65,623","71,966",          0.91,"137,261","74,930",          1.83,"65,432","71,829",          0.91,"136,681","74,699",          1.83,"65,133","71,548",          0.91,"136,280","74,602",          1.83,"64,959","71,321",          0.91,"136,020","74,564",          1.82,"64,798","71,222",          0.91
2723000000,대구광역시 북구 ,"417,353","189,935",          2.20,"206,786","210,567",          0.98,"416,143","189,865",          2.19,"206,176","209,967",          0.98,"415,518","190,105",          2.19,"205,861","209,657",          0.98,"415,232","190,351",          2.18,"205,695","209,537",          0.98,"415,371","190,778",          2.18,"205,722","209,649",          0.98,"415,244","191,008",          2.17,"205,649","209,595",          0.98
2726000000,대구광역시 수성구 ,"406,927","171,453",          2.37,"195,991","210,936",          0.93,"407,774","172,139",          2.37,"196,364","211,410",          0.93,"407,601","172,415",          2.36,"196,286","211,315",          0.93,"407,571","172,624",          2.36,"196,190","211,381",          0.93,"407,263","172,758",          2.36,"195,974","211,289",          0.93,"406,970","172,765",          2.36,"195,783","211,187",          0.93
2729000000,대구광역시 달서구 ,"525,030","234,160",          2.24,"257,357","267,673",          0.96,"524,205","234,338",          2.24,"256,911","267,294",          0.96,"524,085","234,945",          2.23,"256,841","267,244",          0.96,"523,990","235,375",          2.23,"256,772","267,218",          0.96,"523,220","235,457",          2.22,"256,330","266,890",          0.96,"522,766","235,541",          2.22,"256,019","266,747",          0.96
2771000000,대구광역시 달성군 ,"261,364","113,791",          2.30,"132,506","128,858",          1.03,"260,871","113,791",          2.29,"132,274","128,597",          1.03,"260,364","113,763",          2.29,"132,050","128,314",          1.03,"259,722","113,684",          2.28,"131,687","128,035",          1.03,"259,187","113,601",          2.28,"131,388","127,799",          1.03,"258,853","113,524",          2.28,"131,231","127,622",          1.03
2772000000,대구광역시 군위군 ,"22,880","13,523",          1.69,"11,832","11,048",          1.07,"22,823","13,501",          1.69,"11,787","11,036",          1.07,"22,768","13,486",          1.69,"11,760","11,008",          1.07,"22,744","13,478",          1.69,"11,735","11,009",          1.07,"22,702","13,472",          1.69,"11,728","10,974",          1.07,"22,655","13,462",          1.68,"11,713","10,942",          1.07
2800000000,인천광역시  ,"2,985,167","1,340,660",          2.23,"1,491,378","1,493,789",          1.00,"2,987,930","1,343,588",          2.22,"1,492,566","1,495,364",          1.00,"2,990,828","1,347,224",          2.22,"1,493,996","1,496,832",          1.00,"2,993,374","1,349,762",          2.22,"1,495,205","1,498,169",          1.00,"2,994,741","1,351,374",          2.22,"1,495,755","1,498,986",          1.00,"2,995,923","1,352,875",          2.21,"1,496,318","1,499,605",          1.00
2811000000,인천광역시 중구 ,"158,427","79,034",          2.00,"82,009","76,418",          1.07,"160,507","79,996",          2.01,"83,024","77,483",          1.07,"161,312","80,474",          2.00,"83,434","77,878",          1.07,"161,723","80,772",          2.00,"83,575","78,148",          1.07,"162,120","81,028",          2.00,"83,806","78,314",          1.07,"163,036","81,511",          2.00,"84,291","78,745",          1.07
2811400000,인천광역시 중구영종출장소 ,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00
2811800000,인천광역시 중구용유출장소 ,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00,0,0,          0.00
2814000000,인천광역시 동구 ,"59,068","27,863",          2.12,"29,568","29,500",          1.00,"58,924","27,827",          2.12,"29,507","29,417",          1.00,"58,821","27,799",          2.12,"29,439","29,382",          1.00,"58,684","27,780",          2.11,"29,361","29,323",          1.00,"58,608","27,754",          2.11,"29,306","29,302",          1.00,"58,514","27,723",          2.11,"29,272","29,242",          1.00
2817700000,인천광역시 미추홀구 ,"404,374","194,738",          2.08,"203,110","201,264",          1.01,"404,566","195,118",          2.07,"203,259","201,307",          1.01,"404,725","195,485",          2.07,"203,393","201,332",          1.01,"405,724","195,960",          2.07,"203,931","201,793",          1.01,"406,331","196,360",          2.07,"204,211","202,120",          1.01,"406,712","196,682",          2.07,"204,374","202,338",          1.01
2818500000,인천광역시 연수구 ,"390,954","158,646",          2.46,"193,797","197,157",          0.98,"391,224","158,866",          2.46,"193,914","197,310",          0.98,"392,083","159,873",          2.45,"194,367","197,716",          0.98,"392,677","160,241",          2.45,"194,671","198,006",          0.98,"392,885","160,419",          2.45,"194,709","198,176",          0.98,"393,314","160,582",          2.45,"194,909","198,405",          0.98
2820000000,인천광역시 남동구 ,"488,769","221,881",          2.20,"242,339","246,430",          0.98,"488,120","222,010",          2.20,"241,988","246,132",          0.98,"487,569","222,130",          2.19,"241,728","245,841",          0.98,"486,706","222,070",          2.19,"241,293","245,413",          0.98,"486,193","222,117",          2.19,"240,993","245,200",          0.98,"485,688","222,082",          2.19,"240,759","244,929",          0.98
